BATHROOMS,NUM_UNITS,ROOMS,BEDROOMS,REMODEL_YEAR,STORIES,PRICE,BUILDING_AREA,CONDITION,KITCHENS,FIREPLACES,LAND_AREA
4,1,9,3,2008,2,715000,1854,Good,1,1,3864
4,1,7,3,2013,2,1315000,1566,Very Good,2,0,2820
4,1,9,4,2015,2,1440000,1686,Very Good,2,1,5452
4,1,7,5,2013,1,1060000,2548,Average,1,0,1200
4,2,8,5,2015,2,1925000,2631,Good,2,1,2274
3,2,9,3,2010,2,979000,2443,Average,2,0,1600
5,2,9,4,2007,1.5,1737000,2428,Very Good,2,1,889
2,1,6,3,2004,3,865000,918,Good,2,1,1298
3,1,5,2,2007,2,795000,918,Very Good,1,1,3723
2,1,6,3,2004,2,950000,918,Good,1,1,6600
3,1,5,2,2004,2,799000,970,Good,1,1,1800
2,1,7,2,1984,2,1050000,1440,Average,1,3,1200
3,1,6,3,1996,2,1100000,1440,Average,1,3,12400
4,4,12,4,2007,3,2279000,4352,Good,4,1,2567
3,1,6,3,2001,2,200000,1505,Average,1,1,5130
2,1,6,3,2004,2,650000,1281,Good,1,1,2444
2,1,6,1,2004,2,660000,1530,Good,1,0,1392
2,1,6,3,2003,1,830000,1335,Good,1,0,2282
2,1,6,3,2013,2,635000,1170,Average,1,0,1275
2,1,6,3,2011,2,673500,1350,Good,1,1,2317
4,2,7,2,2005,1,317000,2116,Good,2,3,1440
3,3,10,4,2004,3,350000,3036,Good,3,3,5738
4,2,6,4,2009,2,1048500,1900,Good,2,2,6395
3,2,8,4,2016,2,2020000,1949,Very Good,2,2,7133
2,2,10,5,2004,2.25,127000,2008,Good,2,0,1050
4,2,7,3,2007,2,820000,1512,Good,2,2,1478
3,2,8,3,2004,4,822500,2622,Good,2,0,1647
3,2,8,2,2004,2,705500,1350,Good,2,1,973
2,1,6,2,2008,2,900000,1455,Average,1,1,1391
2,1,6,3,2011,2,140000,1268,Good,1,0,2372
4,2,12,3,2010,2.5,2000000,2112,Very Good,2,3,1907
3,1,10,5,2014,2,1410000,2397,Good,1,1,5000
2,1,8,5,2004,2,349000,2042,Good,1,0,1206
4,2,15,7,2006,3,1700000,2862,Good,2,4,16944
4,2,10,6,1999,2,1255000,3078,Average,2,3,1526
3,2,9,3,2009,2,501000,3481,Good,2,3,1256
6,4,15,5,1988,2.5,1550000,2790,Good,4,4,576
7,1,10,6,2012,2,1430000,4023,Good,2,0,2596
3,1,7,4,2012,2,1510000,2037,Good,1,1,5512
2,1,7,3,1990,3,1050000,2037,Good,1,2,3105
3,1,8,3,1975,2,910000,2760,Good,1,2,983
1,1,6,3,1950,2,580000,1624,Good,1,1,1238
2,1,4,3,2007,3,890000,1630,Good,1,1,6929
1,1,8,4,2000,2,170000,1696,Average,1,1,767
3,2,7,3,1985,2,890000,1558,Average,2,3,1440
3,2,6,3,2008,2,1120000,1464,Good,2,1,1224
3,2,8,3,2007,2,834000,1492,Good,2,2,4600
3,2,6,3,2003,2,905000,1454,Good,2,2,1736
2,1,7,2,1980,2,255000,1152,Good,1,1,9300
5,2,12,3,1987,2,1065000,2220,Good,2,0,3789
2,1,6,2,2003,3,900000,1728,Good,1,3,1419
2,1,6,2,2006,2,915000,1152,Good,1,1,1278
2,1,5,2,1985,2.5,250000,1152,Good,1,1,1917
4,2,8,5,2007,1.75,2000000,4538,Good,2,2,2104
3,2,10,2,2001,2,2050000,3420,Good,2,6,2422
4,2,12,4,1988,2,1690000,2656,Good,2,2,1368
6,2,12,5,2008,2,1735000,3408,Good,3,4,960
5,1,7,4,2005,2,1575000,3100,Very Good,1,2,1548
6,2,9,5,2014,2.5,2295000,2608,Very Good,2,2,7191
8,3,16,7,2006,2,4100000,6560,Very Good,3,8,1576
6,2,10,3,1990,2,1800000,2672,Good,2,5,2949
4,2,13,7,2011,2,536500,3524,Average,2,3,1848
4,1,12,5,2006,3,1670000,2608,Good,2,2,8075
1,1,6,2,1998,2,340000,872,Good,1,0,1260
3,1,5,3,2004,2,625000,1528,Good,1,1,1558
1,1,6,3,2014,2.5,271000,1208,Good,1,1,1027
1,1,4,2,1956,3,375000,894,Good,1,0,6519
2,1,6,2,2004,2,1080000,1494,Good,1,1,1600
1,1,4,2,2002,2,550000,716,Good,1,2,5633
1,1,4,2,2009,2.5,495000,702,Good,1,0,600
2,1,4,2,2001,2,625000,834,Good,1,0,2802
1,1,4,2,2002,2.5,485000,936,Average,1,1,5100
2,1,6,3,2002,2,490500,1530,Good,1,1,2708
2,1,6,3,2016,2,778000,1350,Good,1,1,1046
2,1,6,3,2006,3,450000,1350,Average,1,1,1392
2,1,6,3,2005,3,875000,1350,Very Good,1,0,3300
2,1,7,3,2004,2.5,680000,1350,Good,1,1,2000
2,1,7,3,2003,2.25,265000,900,Average,1,0,1562
2,1,6,3,2004,2,675000,1350,Good,1,1,1479
2,1,6,3,2010,2,880000,1350,Good,1,1,1440
2,1,6,2,2001,2,575000,1200,Good,1,1,1801
6,2,7,5,2013,2,1050000,1788,Good,2,2,994
3,2,8,3,2003,2.25,970000,1728,Average,2,1,4492
2,1,6,4,1999,2.5,380000,1728,Average,1,0,2505
2,1,7,4,2008,2.5,517000,1728,Good,1,1,1504
3,2,8,3,2009,2,1110000,1728,Good,2,1,2231
2,1,6,2,2006,2,746500,1184,Very Good,1,0,1520
2,1,6,3,2014,2,760000,1192,Very Good,1,0,2674
2,1,6,2,2002,2,755000,1192,Good,1,2,9142
3,2,9,4,2004,2,203600,3150,Good,2,0,3272
4,2,10,4,2006,3,825000,3030,Good,2,0,890
4,2,13,3,1990,2,878750,3533,Average,2,2,9389
6,2,13,5,2008,4,447500,3372,Average,2,0,6376
4,2,7,3,2010,2.25,825000,1665,Very Good,2,1,6654
3,1,6,3,2013,2,1049900,1824,Very Good,1,0,2294
3,1,6,3,2008,3,1175000,1912,Good,1,1,5800
2,1,8,3,2009,2,175145,1496,Average,1,1,7812
1,1,7,3,1987,2,655000,2122,Average,1,2,4059
3,1,9,5,1991,2,165000,2118,Average,1,0,1538
1,1,8,4,2007,2,665000,2118,Average,1,1,2541
4,2,6,4,2003,2,215000,2650,Good,2,2,6300
1,1,8,5,2009,2,141000,1476,Good,1,1,1600
2,1,5,3,2004,2,825000,1422,Good,1,2,5460
1,1,6,3,1996,2,700000,1322,Good,1,0,4946
2,1,5,2,2009,2,870000,1348,Good,1,0,1955
2,1,9,4,1975,2,325000,1818,Good,1,1,2374
5,1,8,3,2004,2.5,1050000,4458,Very Good,1,5,1360
4,4,9,4,2010,2,375500,2332,Good,4,0,927
4,2,11,4,2006,1,1500000,2460,Good,2,2,7401
2,1,10,4,2000,2,1600000,2332,Average,2,6,1399
4,1,13,5,2013,2,1890000,2598,Good,2,6,1962
4,1,8,5,2016,3,2210555,2312,Very Good,1,5,9900
4,2,7,4,2008,3,1400000,2474,Very Good,2,2,7500
4,2,11,5,2006,3,393000,2726,Good,2,0,2100
5,2,11,6,2014,2,1395000,2903,Good,2,0,4085
4,1,8,5,2011,0,1715000,3180,Average,1,2,2851
4,2,13,6,1992,2,1875000,3407,Good,2,0,5067
4,3,8,5,2018,2,1278460,3000,Average,3,0,1367
2,1,7,2,2007,2,599100,1162,Good,1,1,3614
5,1,9,6,2003,3,548000,1960,Good,1,1,1144
3,1,6,2,1960,3,606500,1976,Average,1,1,943
4,1,4,2,1995,2,801000,1200,Good,1,1,10200
4,1,6,3,1997,1,852500,1200,Average,1,1,2000
3,1,5,3,2007,2,1275000,1778,Good,1,1,6518
3,1,5,2,2003,3,1060000,1200,Very Good,1,1,1808
3,1,6,3,2000,2,310000,1262,Good,3,1,7611
3,1,5,2,2000,2,360000,1260,Average,1,1,9353
1,1,5,2,1959,2,825000,1308,Good,1,1,1575
2,1,5,2,2009,2.5,875000,1206,Good,1,1,1386
5,2,7,3,2000,2,525000,2022,Average,2,1,5333
4,1,6,3,2000,2,780000,1764,Good,1,1,2131
3,2,8,3,2000,2,965150,2142,Good,2,1,5675
4,2,9,3,2012,1.5,925000,2016,Good,2,1,9651
2,1,7,3,2008,2,625000,1286,Average,1,0,1271
3,1,6,2,2016,3,1000000,1386,Good,1,1,8470
3,2,6,3,2014,2,650000,1851,Average,2,1,4884
3,2,8,5,2008,2.25,735000,2443,Good,2,0,1260
5,2,10,5,2007,2,1200000,2443,Good,2,2,1120
4,1,10,4,2008,2,771200,2443,Average,2,0,6625
5,2,10,5,2008,2,1175000,2485,Good,2,0,1368
7,2,10,6,2003,2.25,1231000,2838,Good,2,1,1397
4,3,12,5,2004,1.5,1625000,2443,Good,3,0,1560
2,1,6,3,2011,2,772000,1304,Good,1,0,13570
2,1,6,3,2004,2,755000,1286,Good,1,0,775
3,1,6,2,2001,2,625000,1286,Average,1,1,5844
2,1,6,3,2015,2,162000,1286,Average,1,1,5875
3,1,6,3,2012,2.5,534000,1286,Average,1,0,3634
4,1,6,4,2006,2,1014000,1412,Good,1,0,1936
3,1,9,3,2000,1,932000,2100,Average,1,6,1152
4,2,10,4,2005,2,1039000,2192,Good,2,4,7500
4,2,7,4,1978,2.2,451550,1888,Average,2,1,1680
6,2,11,6,1990,2,1260000,2676,Good,2,2,1649
8,3,12,8,2010,2,650000,2724,Good,3,0,1156
4,4,12,8,1996,2,1070000,2811,Good,4,0,2400
2,1,6,3,2010,1,945000,1384,Very Good,1,0,3874
2,1,6,2,2008,3,660000,1192,Good,1,0,2932
2,1,6,2,2008,2,645000,1192,Good,1,0,2100
2,1,7,2,2008,2,563500,1192,Good,1,0,3686
3,1,6,2,2005,2,622000,1192,Good,1,1,3042
2,1,6,3,2009,2.5,649000,1184,Good,1,1,1368
2,1,6,3,2007,2,640000,1192,Good,1,1,2907
2,1,6,2,2005,2,693000,1216,Good,1,1,832
2,1,6,2,2009,2.5,755000,1322,Very Good,1,1,2328
4,1,9,3,2008,2,1405000,1952,Very Good,1,2,1419
3,3,9,3,2010,2,1180000,1262,Good,3,1,8750
2,2,6,3,2008,2.5,1050000,1128,Good,2,0,1343
4,2,7,3,2000,2,771000,1088,Good,2,0,2243
5,3,12,4,2009,2,1600555,2056,Good,3,2,2035
4,2,9,4,2012,2.25,2157000,2210,Very Good,2,3,1883
2,2,6,2,2007,2,749000,1136,Very Good,2,0,3178
3,1,7,3,2013,2,375000,1788,Good,1,1,6600
2,2,8,2,2008,2,680000,2320,Good,2,0,4780
2,1,9,3,1996,2,1140000,2463,Good,1,0,11000
5,2,7,6,2005,2.25,1800000,2437,Good,2,4,1473
4,1,8,4,2011,3,1175000,1938,Very Good,1,0,1622
4,2,10,4,1989,2,315000,2136,Average,2,2,1111
4,2,9,5,1997,2,1250000,2176,Good,2,2,6250
4,2,10,4,2011,2,1576000,2233,Very Good,2,2,1600
4,3,11,4,2000,2,975000,2452,Good,3,0,2000
5,2,8,5,2000,2,950000,2562,Good,2,0,2520
3,1,9,3,1987,2.75,233250,2286,Average,1,2,4918
3,1,11,4,2000,2,678300,2292,Good,1,2,1299
2,1,7,5,2017,2,940000,1304,Good,1,0,1000
4,2,7,3,2009,2,1375000,2508,Good,2,1,2434
4,3,10,3,2016,2,837500,2834,Good,3,1,1499
4,2,9,3,1978,2,1500000,2206,Good,2,1,3376
4,2,9,4,2007,2,1625000,2216,Good,2,1,1667
4,1,9,4,2003,2,890000,2140,Good,1,0,6500
7,3,10,6,2002,3,1125000,2319,Good,3,2,1700
4,2,9,5,2003,2,1500000,2166,Good,2,2,1406
4,2,10,4,2004,2,855000,2206,Good,2,1,2133
4,1,8,3,2016,2,1725000,2256,Good,2,2,2689
4,2,9,4,2004,1.75,1260000,2206,Good,2,1,2740
4,2,10,3,2008,2,1275000,2206,Good,2,1,2559
5,2,12,4,1988,2,925000,2256,Good,2,0,1150
4,3,9,6,2000,2,500000,2382,Average,3,1,791
3,2,7,3,2000,2,320000,1418,Good,2,0,1120
2,1,6,2,2014,2,460000,1414,Good,1,0,2417
4,4,13,4,2004,2,585000,3696,Good,4,0,1025
3,2,11,7,1984,2,1361000,2490,Good,2,2,3270
3,1,7,2,2015,2,805000,1242,Good,1,0,1877
2,1,7,2,2000,2,585000,828,Good,1,1,2090
3,2,9,4,2013,2,570000,3288,Good,2,2,1394
2,1,6,3,2002,2,149500,1286,Average,1,1,7045
3,1,7,3,2008,2.5,1155200,1852,Good,1,1,1050
2,1,6,3,2000,2,741600,1354,Good,1,1,5250
3,1,7,3,2009,2,730000,1354,Good,1,0,1625
4,1,7,3,2011,2,755000,1354,Good,1,0,2499
3,1,6,3,2004,1.5,849000,1296,Good,1,1,1646
4,2,8,4,2014,2,581000,1354,Good,2,0,960
4,1,9,3,2008,2,1264000,2062,Good,1,1,4009
3,1,6,3,2004,2.25,584700,892,Good,1,0,5658
4,2,11,4,2004,2,570000,2096,Average,2,5,2468
2,1,6,4,2005,2,870000,2064,Good,1,2,848
1,1,6,3,2015,2,249000,1280,Average,1,0,1503
2,1,5,2,2009,2,440000,1280,Good,1,1,6269
3,3,10,6,2008,2,1225000,1912,Good,3,0,5148
3,1,9,3,2009,2,999000,2992,Good,1,1,4160
3,1,6,3,1977,1.25,1210000,1686,Very Good,1,0,1809
4,2,8,4,2011,2,1025000,2326,Good,2,1,6750
3,2,6,4,1980,2,810000,1632,Good,2,2,1926
4,2,9,4,1991,2,659000,1530,Good,2,1,3060
8,3,15,6,2010,1,1815000,3661,Good,3,4,5225
3,2,9,4,2008,2,840000,1622,Good,2,2,1312
4,2,9,4,2010,2,1525000,2342,Very Good,2,1,2433
2,1,6,2,1983,2,229000,1792,Average,1,0,2963
3,1,7,3,2013,2,1100000,1826,Good,2,0,7532
4,1,8,4,2004,1.75,1440000,1815,Good,1,1,1700
4,2,8,3,2002,2,830000,1749,Good,2,2,3384
5,2,13,6,1975,2,1000000,2108,Good,2,2,4500
4,2,10,4,2010,2,701800,2238,Good,2,3,4971
3,1,8,4,1985,2,442500,2375,Average,1,2,1274
4,2,9,5,1977,2.5,920000,2228,Good,2,3,7345
2,1,9,4,1988,2,45000,2292,Good,1,2,1448
2,1,8,5,1990,2,250000,2488,Good,1,1,6130
3,1,8,4,2012,2,1240000,2292,Good,1,1,1650
4,2,9,4,2011,2,818000,2322,Average,2,2,2134
4,3,10,4,2012,2,1412500,2322,Good,3,1,1680
4,1,7,4,2001,2.7,1000000,2187,Good,1,1,4091
1,1,9,5,2012,2,195000,2294,Good,1,0,8860
5,1,10,5,2015,2,1828000,2405,Very Good,1,1,840
4,1,9,5,2013,2,1517375,2403,Very Good,1,0,1770
1,1,5,3,1973,2,815000,1272,Average,1,0,4551
2,1,7,3,1990,2,1300000,1988,Good,1,0,5400
3,1,6,3,2008,2,999000,1304,Very Good,1,0,5950
1,1,6,3,1996,2,735000,1272,Good,1,0,1600
2,1,6,3,1990,2.5,1125000,1272,Good,1,1,10460
1,1,6,2,2011,2,797500,1272,Good,1,0,2455
1,1,5,2,2007,2,1115000,1280,Good,1,2,1275
3,1,8,2,2007,2,1479000,3300,Good,1,3,3853
4,1,7,3,2009,2,1700000,2576,Very Good,1,1,1427
4,1,6,2,2009,1,1200000,2546,Good,1,1,1529
3,1,6,3,2001,2,664150,1021,Good,1,1,2200
4,4,9,6,2004,2,1500000,2608,Good,4,0,25329
7,2,16,6,2001,3,1725000,2556,Good,2,4,4560
4,4,12,4,2013,3,2700000,4090,Good,4,6,1600
3,2,9,4,1973,2,1070000,2640,Average,2,6,1088
4,3,9,2,1966,2,230000,2360,Average,3,2,1925
4,3,17,4,2002,2,1475000,3000,Very Good,3,0,1909
6,2,10,4,1980,2,1511250,2355,Good,2,2,864
5,2,11,5,2005,2,1900500,2946,Good,2,6,1677
5,2,16,6,1981,2,230000,4266,Good,2,0,1087
6,2,6,5,2001,2,1360000,3312,Good,2,3,1426
7,2,13,5,2007,3,1250000,3342,Good,2,2,1530
6,2,13,5,1976,2,1800000,3020,Average,2,3,1020
5,1,9,5,2002,2,1675000,2980,Good,2,2,1025
3,3,8,3,1965,2,1109000,1888,Average,3,0,5400
4,2,9,4,2012,2,1900000,2718,Good,2,4,1255
1,1,7,3,1980,2,1000000,1618,Average,1,1,2286
3,3,9,4,2015,2.5,1110000,1694,Good,2,1,1116
5,3,11,5,1980,2,1475000,3288,Good,3,1,3640
4,2,7,4,2007,2,1505000,2924,Average,2,3,3066
3,2,7,4,1979,1,415000,1952,Good,2,0,2106
5,2,12,4,2016,2,2000000,2445,Very Good,2,0,2375
4,2,11,3,2012,2,1610000,2445,Very Good,2,3,2852
5,2,12,3,2009,2.5,1550000,2469,Good,2,4,2434
4,2,11,5,2008,2,495000,2445,Good,2,4,2534
5,2,11,6,1978,2,1300000,2588,Good,2,4,2300
4,2,10,3,2006,2,1200000,2756,Average,2,3,6000
2,1,7,2,2007,2.5,800000,1190,Good,1,0,6350
4,2,8,3,1998,2,1080000,1382,Good,2,1,2281
4,2,12,5,2001,2,1259000,3498,Good,2,1,3938
4,2,9,6,1989,3,260000,3474,Average,2,0,4488
4,3,8,5,2007,2,1355000,2544,Good,3,0,4618
4,4,14,4,1981,1,310000,2500,Average,4,0,831
4,2,10,4,2007,2,1600000,2382,Good,2,3,2410
4,2,10,4,2008,2,1187000,2336,Good,3,2,6240
2,2,11,5,2012,2,751000,2016,Average,2,2,3504
4,2,10,5,2004,3,1325000,2240,Good,2,1,902
3,2,10,4,2004,2,813500,2248,Good,2,3,1959
4,2,10,4,1989,2,1195000,2544,Good,1,2,1820
4,4,12,4,1985,2,1195000,2280,Good,4,0,1815
5,2,8,6,2008,2,1340000,2376,Good,2,2,1111
4,2,10,4,2009,2,875000,3306,Good,2,1,6850
3,2,10,5,1962,2,1711000,2700,Average,2,3,2091
1,1,6,3,1973,2,800000,1272,Good,1,1,4443
2,1,6,3,2009,2,700000,1272,Average,1,1,8084
3,2,9,3,2006,2.5,1200000,2514,Good,2,0,4481
5,2,9,4,2014,3,1103500,2904,Average,2,2,2720
4,2,12,4,2004,2.5,629000,2262,Good,2,0,1527
9,3,16,9,2011,2,1523870,3498,Good,3,1,2263
5,1,10,4,2015,2,2149000,2154,Very Good,1,1,690
4,2,8,5,2009,1,1360000,2355,Good,2,2,2216
5,2,12,6,2000,2,1720000,2924,Good,2,2,9416
5,1,10,4,2008,2,1625000,2296,Very Good,2,2,6815
4,4,15,6,1996,2,1350000,2751,Good,4,1,3054
3,2,8,3,2008,2,1400000,1288,Good,2,1,1079
5,2,12,5,2010,2,1600000,2420,Good,2,4,5051
4,2,14,5,2004,2.25,341000,2410,Very Good,2,1,1444
7,4,19,6,2001,2.5,1300000,2563,Good,4,2,1445
4,2,12,5,2000,2,1350000,3127,Average,2,4,1400
4,4,9,5,2003,2,1700000,2379,Good,4,3,1999
5,2,13,6,1989,2,1515000,2509,Good,2,4,6860
2,1,6,3,2012,2,349000,1324,Average,1,1,1840
2,1,7,2,1992,2,932500,1148,Average,1,1,1405
2,1,6,2,2004,2.5,625000,1148,Good,1,1,2325
2,1,6,2,2000,3,660000,1148,Average,1,1,998
3,2,9,4,2010,2,775000,1400,Good,2,1,900
2,1,7,3,2001,2,735000,1250,Good,1,0,1637
3,2,7,3,2000,3,980000,1728,Good,2,1,4089
3,2,7,3,1991,2,339900,1296,Average,2,0,3344
3,3,6,3,2012,2,630000,1296,Good,3,0,3206
2,1,7,3,2011,2.25,1020000,1260,Average,1,0,2870
6,2,10,5,2011,2,1617500,2829,Very Good,2,1,694
5,2,11,4,2003,2.75,815000,2829,Average,2,0,915
4,3,10,5,1980,2,1069000,2829,Average,3,1,1800
6,3,8,4,1990,2,960000,2829,Good,3,1,7238
4,2,10,4,1985,2,405000,2572,Good,2,1,6309
4,2,9,6,2011,3,1075000,2613,Average,2,3,1520
3,1,9,4,2004,2,1130000,2572,Good,1,2,1740
4,1,14,4,2005,2,1500000,2551,Good,1,0,1064
4,3,10,4,2002,2,260000,2717,Good,4,0,1500
4,2,12,8,1988,3,1299000,3000,Good,2,2,2000
3,2,7,3,2010,2,1345000,2040,Very Good,2,2,2000
3,2,7,3,1994,2,286000,1360,Good,2,1,986
4,2,6,3,2008,2,1025000,1360,Good,2,2,1516
3,2,10,3,1979,2,1193500,2900,Good,2,2,2773
4,2,11,3,2012,2,555325,2908,Average,2,2,2957
4,2,9,4,2003,2,675000,2634,Good,2,6,3585
3,1,7,3,2005,3,1175000,1881,Good,1,1,2430
3,1,6,3,1989,1,955000,1860,Good,1,2,27331
2,1,7,3,1963,2,885000,1860,Average,1,0,5993
2,1,6,3,2009,2.5,900000,1860,Average,1,1,1659
2,2,6,3,2004,2,1041000,960,Good,2,0,2250
4,3,10,4,2006,2,2600000,3151,Good,3,6,1433
5,2,8,4,2005,2.5,1225000,2718,Very Good,2,4,1467
5,2,11,5,2007,1,2435000,2781,Excellent,3,3,2038
6,5,17,5,2002,2,4380000,3805,Very Good,4,5,2090
7,3,8,6,1980,2,2600000,4035,Good,3,3,2667
5,4,15,6,1979,2.5,2050000,3933,Average,4,3,810
6,2,9,5,2009,2,1480000,4116,Average,2,7,1616
6,4,15,5,2011,2,1960000,4439,Good,4,4,1715
5,2,14,6,1985,3,95960,4045,Average,2,4,1520
4,4,9,4,1989,2,200000,2280,Average,4,0,1000
4,2,20,8,2007,2.75,736000,2280,Good,2,2,1282
5,4,7,4,1985,2,1450000,3336,Average,4,0,890
4,3,11,8,2012,2,400000,3740,Good,3,0,7402
3,2,8,3,2010,2,848000,1360,Good,2,2,2000
3,3,12,6,2008,2.5,650000,4193,Average,3,1,4481
1,1,5,1,2000,2,635000,960,Average,1,1,2579
3,2,7,3,2007,2,1477500,1932,Very Good,2,2,9854
3,1,11,3,2009,2,1071000,2160,Good,1,4,1567
3,1,8,4,2012,2,1065000,2163,Good,1,3,654
5,3,12,4,2009,2,1406500,2720,Good,3,0,2600
3,1,8,3,2013,2,1012500,1784,Good,1,2,1433
3,2,7,2,2004,2,235000,1260,Good,2,1,1120
3,2,7,3,2004,2,1325000,1260,Good,2,1,1050
3,2,7,2,2011,2,535000,1260,Good,2,1,8775
4,4,12,6,2004,2,495000,2677,Good,4,2,10144
4,2,10,3,2009,2,1605000,2054,Good,3,4,1800
6,2,10,5,2006,3,1728000,3092,Good,2,3,3928
4,2,11,7,2005,3,1425000,3330,Good,2,0,3120
4,2,10,5,2007,2,2299000,3062,Very Good,2,3,13065
4,2,10,5,2008,2,1200000,2352,Good,2,0,1152
4,4,16,7,2009,2,1600000,2344,Good,4,0,2974
4,4,12,4,2004,2.5,1500000,2370,Good,4,0,1926
3,2,7,4,2004,2,500000,2718,Good,2,2,1024
4,2,9,4,2002,2,1049000,2204,Average,2,0,1760
2,1,7,3,2010,1,289000,1832,Good,1,1,2875
2,1,8,2,1999,2,801600,1536,Average,1,0,920
4,2,10,4,1991,2,365000,1260,Good,2,1,4874
3,1,6,3,2003,3,810000,1386,Good,1,0,1337
4,1,7,3,2014,2,1065000,1624,Good,1,2,2189
3,3,9,3,1980,3,776000,1408,Good,3,0,1800
4,2,6,3,2003,2,1410000,1544,Good,2,1,2450
4,1,9,3,2009,2,1250000,1516,Good,2,1,997
4,2,9,4,2004,2,1080000,1612,Good,2,1,507
4,2,8,5,2011,2,1387000,1516,Very Good,2,0,1330
4,3,10,4,2010,2,785000,3522,Average,3,0,709
3,1,5,2,2004,2,725000,1322,Average,1,1,1425
3,2,6,3,1996,2.5,1050000,1260,Good,2,0,1779
1,1,4,2,1980,3,499000,800,Average,1,0,6066
4,1,5,2,1964,2,850000,1800,Good,1,0,1698
2,1,4,2,2005,2,737500,1376,Good,1,0,1800
4,1,9,4,2014,2,1200000,1932,Good,1,1,2123
5,1,9,4,2015,2,1050000,2392,Good,1,0,2400
